Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
A Nightmare On Elm Street,1984,Wes Craven,USA,Skräck,91 min,"Robert Englund, Heather Langenkamp",Robert Shaye,Charles Bernstein,Jim Doyle,[Recension](https://www.google.com/search?q=A+Nightmare+On+Elm+Street+1984+review),America,,,
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,USA,Skräck/Fantasy,91 min,"Heather Langenkamp, Robert Englund",Robert Shaye,Angelo Badalamenti,Kevin Yagher,[Recension](https://www.google.com/search?q=Nightmare+on+Elm+Street+3+review),America,,,
A Nightmare on Elm Street 4: The Dream Master,1988,Renny Harlin,USA,Skräck/Action,93 min,"Robert Englund, Lisa Wilcox",Robert Shaye,Craig Safan,Steve Johnson,[Recension](https://www.google.com/search?q=Nightmare+on+Elm+Street+4+review),America,,,
A Nightmare on Elm Street 5: The Dream Child,1989,Stephen Hopkins,USA,Skräck,89 min,"Robert Englund, Lisa Wilcox",Robert Shaye,Jay Ferguson,David Miller,[Recension](https://www.google.com/search?q=Nightmare+on+Elm+Street+5+review),America,,,
Alligator,1980,Lewis Teague,USA,Skräck/Kult,91 min,"Robert Forster, Robin Riker",Brandon Chase,Craig Hundley,-,[Recension](https://www.google.com/search?q=Alligator+1980+movie+review),America,,,
Alligator II: The Mutation,1991,Jon Hess,USA,Skräck/Action,95 min,"Joseph Bologna, Dee Wallace",David Stanley,-,-,[Recension](https://www.google.com/search?q=Alligator+II+The+Mutation+review),America,,,
Amityville 3-D,1983,Richard Fleischer,USA,Skräck,93 min,"Tony Roberts, Tess Harper",Ronald Saland,Howard Shore,Gary Zeller,[Recension](https://www.google.com/search?q=Amityville+3-D+review),America,,,
The Amityville Horror,1979,Stuart Rosenberg,USA,Skräck,117 min,"James Brolin, Margot Kidder",Ronald Saland,Lalo Schifrin,-,[Recension](https://www.google.com/search?q=Amityville+Horror+1979+review),America,,,
Amityville II: The Possession,1982,Damiano Damiani,USA,Skräck,104 min,"James Olson, Burt Young",Ira N. Smith,Lalo Schifrin,-,[Recension](https://www.google.com/search?q=Amityville+II+The+Possession+review),America,,,
Angel Heart,1987,Alan Parker,USA,Mysterium/Thriller,113 min,"Mickey Rourke, Robert De Niro",Alan Marshall,Trevor Jones,-,[Recension](https://www.google.com/search?q=Angel+Heart+1987+review),America,,,
Arachnophobia,1990,Frank Marshall,USA,Komedi/Skräck,103 min,"Jeff Daniels, John Goodman",Kathleen Kennedy,Trevor Jones,-,[Recension](https://www.google.com/search?q=Arachnophobia+1990+review),America,,,
Barbarian,2022,Zach Cregger,USA,Skräck/Thriller,102 min,"Georgina Campbell, Bill Skarsgård",Arnon Milchan,Anna Drubich,-,[Recension](https://www.google.com/search?q=Barbarian+2022+movie+review),America,,,
Basket Case,1982,Frank Henenlotter,USA,Skräck/Kult,91 min,Kevin Van Hentenryck,Edgar Ievins,-,Gabe Bartalos,[Recension](https://www.google.com/search?q=Basket+Case+1982+review),America,,,
Basket Case 2,1990,Frank Henenlotter,USA,Skräck/Komedi,90 min,Kevin Van Hentenryck,Edgar Ievins,-,Gabe Bartalos,[Recension](https://www.google.com/search?q=Basket+Case+2+review),America,,,
Black Christmas,1974,Bob Clark,Kanada,Skräck/Slasher,98 min,"Olivia Hussey, Keir Dullea",Bob Clark,Carl Zittrer,-,[Recension](https://www.google.com/search?q=Black+Christmas+1974+review),America,,,
